node1,node2,123risksum
[-73.89973112  40.83080601],[-73.90025162  40.83119466],2.0
[-73.8461744   40.86750342],[-73.84624728  40.86526525],0.0
[-73.92157982  40.70311463],[-73.92233171  40.70354296],0.0
[-73.99980791  40.68723319],[-74.00107364  40.68461154],0.0
[-73.94196524  40.79127185],[-73.94150401  40.79190661],2.0
[-73.94993009  40.65415033],[-73.94703258  40.65433871],0.0
[-73.85259146  40.89361682],[-73.85296684  40.8946044 ],2.0
[-74.01066508  40.65169873],[-74.0128482   40.65300425],0.0
[-73.87556346  40.77036647],[-73.87496158  40.77043174],2.0
[-73.86474786  40.81676662],[-73.86570417  40.81662309],2.0
[-73.90557007  40.85578732],[-73.9073329   40.85381641],0.0
[-73.92687134  40.77977201],[-73.95651384  40.75784213],0.0
[-73.86007866  40.85462791],[-73.85935709  40.85522544],0.0
[-73.92484462  40.74565262],[-73.92515418  40.74407718],1.0
[-73.89252134  40.88266078],[-73.89080544  40.88486784],1.0
[-73.96549624  40.82431684],[-74.00338488  40.76072887],0.0
[-73.99775837  40.75648753],[-73.99887866  40.75696539],3.0
[-73.74983384  40.60256017],[-73.75035477  40.60289282],2.0
[-73.79741889  40.78077692],[-73.79629557  40.78036233],0.0
[-73.96549624  40.82431684],[-74.00338488  40.76072887],0.0
[-73.94867682  40.81569229],[-73.94835602  40.81637431],0.0
[-73.82372658  40.76582551],[-73.82395033  40.7668872 ],2.0
[-73.87307335  40.88013438],[-73.87348328  40.87885559],3.0
[-73.8975829   40.63719614],[-73.89576043  40.6355613 ],3.0
[-73.788178    40.76415195],[-73.78736388  40.76375978],0.0
[-73.788178    40.76415195],[-73.78736388  40.76375978],0.0
[-73.87000174  40.82269782],[-73.87033501  40.82405907],0.0
[-73.77210025  40.75448204],[-73.77263362  40.75563098],2.0
[-73.87513874  40.75663382],[-73.87606788  40.75653623],0.0
[-73.86738546  40.84083156],[-73.86869713  40.84205483],2.0
[-74.00754376  40.71543282],[-74.00793943  40.71492697],3.0
[-73.78670199  40.75794746],[-73.7876052   40.75789766],3.0
[-73.93310007  40.62269393],[-73.93291881  40.62099971],2.0
[-73.96013625  40.65676262],[-73.96024296  40.6572319 ],3.0
[-73.85280951  40.88370476],[-73.8532429   40.88302036],2.0
[-73.80042745  40.77948381],[-73.79762637  40.77926136],0.0
[-73.88348892  40.76810723],[-73.8761273   40.77142079],0.0
[-73.86313498  40.83030447],[-73.86264226  40.82817015],2.0
[-73.96295345  40.67358913],[-73.96693585  40.67443341],3.0
