node1,node2,123risksum
[-73.90779405  40.7605178 ],[-73.9098859   40.75794766],0.0
[-73.81354014  40.69121137],[-73.81452014  40.69321449],3.0
[-73.97702317  40.6814869 ],[-73.97745458  40.68085286],2.0
[-73.94960457  40.8019915 ],[-73.94974483  40.80205065],3.0
[-73.91449524  40.80556137],[-73.9174799  40.8068221],9.0
[-74.00198508  40.75578125],[-74.00355324  40.75644519],1.0
[-73.8729865  40.676563 ],[-73.87330044  40.67780176],1.0
[-73.94960457  40.8019915 ],[-73.94974483  40.80205065],2.0
[-73.92052333  40.81994888],[-73.92148602  40.82018621],2.0
[-73.85722883  40.83858344],[-73.8559468   40.83602967],0.0
[-73.98639931  40.75169999],[-73.98317416  40.75034221],3.0
[-73.90643286  40.63615025],[-73.90496806  40.63483849],2.0
[-74.01146084  40.73302841],[-74.0038256   40.76013314],0.0
[-73.92406461  40.73997998],[-73.9237391  40.7416915],3.0
[-73.80918653  40.75676659],[-73.80886667  40.75911461],1.0
[-74.0410675   40.60782834],[-74.02584546  40.67562386],1.0
[-74.1477016   40.62885136],[-74.14752619  40.62938929],0.0
[-73.96549624  40.82431684],[-74.00338488  40.76072887],5.0
[-74.13549572  40.59370047],[-74.13544074  40.59381694],2.0
[-73.94646134  40.80066531],[-73.94697367  40.7999617 ],4.0
[-74.10102069  40.58644127],[-74.10150795  40.58542864],3.0
[-73.83043143  40.87162472],[-73.83007985  40.87221886],3.0
[-73.97220372  40.74982301],[-73.97171284  40.75049381],3.0
[-73.96078296  40.65445738],[-73.95969666  40.65483921],3.0
[-73.96549624  40.82431684],[-74.00338488  40.76072887],5.0
[-73.9927884   40.71076638],[-73.99414294  40.71055866],3.0
[-73.70700952  40.74177856],[-73.70794717  40.74157759],3.0
[-73.86611896  40.84522313],[-73.86687923  40.84506634],3.0
[-73.87928761  40.80558172],[-73.87788792  40.80229155],3.0
[-73.84840403  40.73565687],[-73.85065603  40.73498534],0.0
[-73.99530831  40.72977673],[-73.99606315  40.73015526],3.0
[-73.99700719  40.74222816],[-73.99984824  40.74342502],3.0
[-73.99831211  40.76082207],[-73.99623223  40.75994603],2.0
[-73.88719446  40.82259244],[-73.88587216  40.82777731],2.0
[-73.89537613  40.86074411],[-73.89482463  40.86206507],0.0
[-73.89527601  40.74831729],[-73.89379709  40.7476915 ],0.0
[-73.86241983  40.66778255],[-73.86607438  40.66725643],1.0
[-73.91039467  40.88023866],[-73.91033976  40.8800524 ],2.0
[-73.86134878  40.68869467],[-73.85873677  40.68904077],3.0
[-73.77030522  40.77665362],[-73.76956807  40.77518143],2.0
[-73.89828973  40.86033442],[-73.89880458  40.85936427],3.0
[-73.98581348  40.74082535],[-73.98630171  40.74016   ],0.0
[-73.85561771  40.72411874],[-73.85569819  40.72384517],2.0
[-73.82212786  40.84628908],[-73.82118856  40.84625341],3.0
[-73.88815634  40.67882783],[-73.88773931  40.67720387],3.0
